,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
30,David Thomas,Texas,Big 12,12,25,430,17.2,5,,25
31,Jovon Bouknight,Wyoming,MWC,12,63,1153,15.6,7,11,74
32,Courtney Taylor,Auburn,SEC,13,43,793,17.2,6,3,46
33,Vincent Marshall,Houston,CUSA,11,61,1048,15.2,5,8,69
34,Chris Francies,UTEP,WAC,12,33,558,16.9,4,,33
35,Hank Baskett,New Mexico,MWC,12,54,910,16.5,3,1,55
36,Chris Henry,West Virginia,Big East,11,52,874,16.5,12,1,53
37,Eddie Royal,Virginia Tech,ACC,12,28,481,16.6,4,1,29
38,Steven Harris,Arkansas,SEC,11,37,622,15.9,4,2,39
39,Sean Coffey,Missouri,Big 12,11,39,648,16.6,10,,39
40,David Anderson,Colorado State,MWC,11,57,935,16.1,2,1,58
41,Fred Gibson,Georgia,SEC,12,49,812,16.2,7,1,50
43,Broderick Clark,Louisville,CUSA,10,27,447,16.0,4,1,28
44,Vernon Davis,Maryland,ACC,11,27,439,15.7,3,1,28
45,Charles Sharon,Bowling Green State,MAC,12,66,1070,16.2,15,,66
46,Reggie Brown,Georgia,SEC,12,53,895,15.7,6,4,57
47,Anthony Crissinger-Hill,Florida Atlantic,Sun Belt,7,46,746,16.2,5,0,46
48,Larry Taylor,Florida Atlantic,Sun Belt,10,25,408,15.7,2,1,26
49,Hannibal Thomas,Cincinnati,CUSA,12,64,1052,15.9,9,2,66
50,Roscoe Parrish,Miami (FL),ACC,12,43,753,14.5,8,9,52
51,Brittney Tellis,Florida Atlantic,Sun Belt,12,23,387,16.1,2,1,24
52,Mike Hass,Oregon State,Pac-10,12,86,1379,16.0,7,,86
53,Johnny Quinn,North Texas,Sun Belt,12,49,785,16.0,9,,49
54,Andre Caldwell,Florida,SEC,12,43,755,16.8,4,2,45
55,Blake Mackey,Colorado,Big 12,13,28,467,15.1,1,3,31
56,Roydell Williams,Tulane,CUSA,10,52,819,15.5,12,1,53
57,Evan Moore,Stanford,Pac-10,11,39,616,15.8,6,,39
58,Marlon White,Vanderbilt,SEC,11,29,457,15.8,2,,29
59,Dallas Baker,Florida,SEC,12,26,410,15.8,5,,26
60,Steve Smith,USC,Pac-10,8,42,659,15.3,6,1,43
61,Jerome Stegall,Arkansas State,Sun Belt,11,25,417,13.5,3,6,31
62,Clinton Solomon,Iowa,Big Ten,12,58,905,15.6,6,,58
64,Bobby Chase,SMU,WAC,11,31,483,15.6,0,,31
65,Yamon Figurs,Kansas State,Big 12,11,31,491,14.9,2,2,33
66,Owen Daniels,Wisconsin,Big Ten,12,25,391,15.6,2,,25
67,Jarrett Hicks,Texas Tech,Big 12,12,76,1197,15.3,13,2,78
68,Chuck Walker,Arkansas State,Sun Belt,11,38,591,14.8,2,2,40
69,Damien Linson,Central Michigan,MAC,9,37,567,13.8,7,4,41
70,Lawrence Bady,Boise State,WAC,11,30,581,13.2,3,14,44
71,Dwayne Jarrett,USC,Pac-10,13,55,849,15.4,13,,55
72,Dorien Bryant,Purdue,Big Ten,12,38,669,14.9,4,7,45
73,Marcus Monk,Arkansas,SEC,11,37,569,15.4,6,,37
74,Ashlan Davis,Tulsa,WAC,12,30,505,13.3,1,8,38
75,Craig Davis,LSU,SEC,12,43,664,15.1,1,1,44
76,Dwayne Bowe,LSU,SEC,11,39,599,15.0,5,1,40
